v320-024.ls6.tacc.utexas.edu
/work/06536/qezlou/hetdex/packs/private-het-data/scripts
Tue Sep  9 18:55:10 CDT 2025
WARNING!!!! CANNOT IMPORT hetdex_api.flux_limits.shot_sensitivity ShotSensitivity:  No module named 'pyhetdex'
Fibers | 09/09/2025 07:23:44 PM | INFO  |  Good fibers: 100212, Fraction of good pixels 0.9715074698010874
Fibers | 09/09/2025 07:23:50 PM | INFO  |   Remaining fraction after removing continuum sources 0.6087394723186844 
Fibers | 09/09/2025 07:23:52 PM | INFO  |  working on shotid: 20230920022
Fibers | 09/09/2025 07:24:18 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 07:24:19 PM | INFO  |  Good fibers: 94923, Fraction of good pixels 0.9715947068985847
Fibers | 09/09/2025 07:24:26 PM | INFO  |   Remaining fraction after removing continuum sources 0.5242775723481138 
Fibers | 09/09/2025 07:24:27 PM | INFO  |  working on shotid: 20230922016
Fibers | 09/09/2025 07:24:53 PM | INFO  |  Total fibers: 104048
Fibers | 09/09/2025 07:24:55 PM | INFO  |  Good fibers: 97197, Fraction of good pixels 0.9703661587979006
Fibers | 09/09/2025 07:25:02 PM | INFO  |   Remaining fraction after removing continuum sources 0.6152659032686194 
Fibers | 09/09/2025 07:25:03 PM | INFO  |  working on shotid: 20230922017
Fibers | 09/09/2025 07:25:29 PM | INFO  |  Total fibers: 103936
Fibers | 09/09/2025 07:25:31 PM | INFO  |  Good fibers: 95534, Fraction of good pixels 0.9709633486325554
Fibers | 09/09/2025 07:25:37 PM | INFO  |   Remaining fraction after removing continuum sources 0.6095002826218938 
Fibers | 09/09/2025 07:25:39 PM | INFO  |  working on shotid: 20230922018
Fibers | 09/09/2025 07:26:03 PM | INFO  |  Total fibers: 103936
Fibers | 09/09/2025 07:26:05 PM | INFO  |  Good fibers: 97197, Fraction of good pixels 0.9710195009355477
Fibers | 09/09/2025 07:26:12 PM | INFO  |   Remaining fraction after removing continuum sources 0.6092780641377821 
Fibers | 09/09/2025 07:26:13 PM | INFO  |  progress 51/808
Fibers | 09/09/2025 07:26:13 PM | INFO  |  saving cov in /work/06536/qezlou/hetdex/data/cov_calfib_ffsky_rmvd_bad_fibs_cont.h5
Fibers | 09/09/2025 07:26:14 PM | INFO  |  working on shotid: 20230922019
Fibers | 09/09/2025 07:26:39 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 07:26:41 PM | INFO  |  Good fibers: 97869, Fraction of good pixels 0.9707244685404266
Fibers | 09/09/2025 07:26:47 PM | INFO  |   Remaining fraction after removing continuum sources 0.6618541111077052 
Fibers | 09/09/2025 07:26:49 PM | INFO  |  working on shotid: 20230923014
Fibers | 09/09/2025 07:27:16 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 07:27:18 PM | INFO  |  Good fibers: 101889, Fraction of good pixels 0.9703184451881564
Fibers | 09/09/2025 07:27:25 PM | INFO  |   Remaining fraction after removing continuum sources 0.5553494489100884 
Fibers | 09/09/2025 07:27:26 PM | INFO  |  working on shotid: 20230923015
Fibers | 09/09/2025 07:27:55 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 07:27:57 PM | INFO  |  Good fibers: 99914, Fraction of good pixels 0.9705702502607841
Fibers | 09/09/2025 07:28:04 PM | INFO  |   Remaining fraction after removing continuum sources 0.6280901575354805 
Fibers | 09/09/2025 07:28:05 PM | INFO  |  working on shotid: 20230923016
Fibers | 09/09/2025 07:28:30 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 07:28:32 PM | INFO  |  Good fibers: 99226, Fraction of good pixels 0.9710166048147021
Fibers | 09/09/2025 07:28:38 PM | INFO  |   Remaining fraction after removing continuum sources 0.5611734827565356 
Fibers | 09/09/2025 07:28:40 PM | INFO  |  working on shotid: 20230923017
Fibers | 09/09/2025 07:29:11 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 07:29:12 PM | INFO  |  Good fibers: 101553, Fraction of good pixels 0.9707787766412327
Fibers | 09/09/2025 07:29:19 PM | INFO  |   Remaining fraction after removing continuum sources 0.5999231928155742 
Fibers | 09/09/2025 07:29:21 PM | INFO  |  working on shotid: 20230923018
Fibers | 09/09/2025 07:29:48 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 07:29:50 PM | INFO  |  Good fibers: 101217, Fraction of good pixels 0.9713196003097897
Fibers | 09/09/2025 07:29:57 PM | INFO  |   Remaining fraction after removing continuum sources 0.5976071213333729 
Fibers | 09/09/2025 07:29:58 PM | INFO  |  working on shotid: 20230923019
Fibers | 09/09/2025 07:30:22 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 07:30:24 PM | INFO  |  Good fibers: 100551, Fraction of good pixels 0.9716355929024127
Fibers | 09/09/2025 07:30:31 PM | INFO  |   Remaining fraction after removing continuum sources 0.6385117999820986 
Fibers | 09/09/2025 07:30:33 PM | INFO  |  working on shotid: 20230923020
Fibers | 09/09/2025 07:31:01 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 07:31:02 PM | INFO  |  Good fibers: 99851, Fraction of good pixels 0.9716553050145103
Fibers | 09/09/2025 07:31:09 PM | INFO  |   Remaining fraction after removing continuum sources 0.5828083844928944 
Fibers | 09/09/2025 07:31:11 PM | INFO  |  working on shotid: 20230924013
Fibers | 09/09/2025 07:31:37 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 07:31:39 PM | INFO  |  Good fibers: 98532, Fraction of good pixels 0.9715301906113013
Fibers | 09/09/2025 07:31:45 PM | INFO  |   Remaining fraction after removing continuum sources 0.4714610481873909 
Fibers | 09/09/2025 07:31:46 PM | INFO  |  working on shotid: 20230924014
Fibers | 09/09/2025 07:32:14 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 07:32:16 PM | INFO  |  Good fibers: 100212, Fraction of good pixels 0.9716555439148542
Fibers | 09/09/2025 07:32:22 PM | INFO  |   Remaining fraction after removing continuum sources 0.43636490639843534 
Fibers | 09/09/2025 07:32:24 PM | INFO  |  progress 61/808
Fibers | 09/09/2025 07:32:24 PM | INFO  |  saving cov in /work/06536/qezlou/hetdex/data/cov_calfib_ffsky_rmvd_bad_fibs_cont.h5
Fibers | 09/09/2025 07:32:24 PM | INFO  |  working on shotid: 20230924015
Fibers | 09/09/2025 07:32:49 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 07:32:50 PM | INFO  |  Good fibers: 99540, Fraction of good pixels 0.9715657468369946
Fibers | 09/09/2025 07:32:57 PM | INFO  |   Remaining fraction after removing continuum sources 0.5564295760498292 
Fibers | 09/09/2025 07:32:58 PM | INFO  |  working on shotid: 20230924016
Fibers | 09/09/2025 07:33:24 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 07:33:25 PM | INFO  |  Good fibers: 100548, Fraction of good pixels 0.9716564999862529
Fibers | 09/09/2025 07:33:32 PM | INFO  |   Remaining fraction after removing continuum sources 0.5160221983530254 
Fibers | 09/09/2025 07:33:33 PM | INFO  |  working on shotid: 20230925019
Fibers | 09/09/2025 07:33:58 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 07:33:59 PM | INFO  |  Good fibers: 100212, Fraction of good pixels 0.9716544073282787
Fibers | 09/09/2025 07:34:06 PM | INFO  |   Remaining fraction after removing continuum sources 0.6299844330020357 
Fibers | 09/09/2025 07:34:08 PM | INFO  |  working on shotid: 20230925020
Fibers | 09/09/2025 07:34:35 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 07:34:37 PM | INFO  |  Good fibers: 99239, Fraction of good pixels 0.9716209271474843
Fibers | 09/09/2025 07:34:44 PM | INFO  |   Remaining fraction after removing continuum sources 0.5800038291397536 
Fibers | 09/09/2025 07:34:45 PM | INFO  |  working on shotid: 20230925021
Fibers | 09/09/2025 07:35:21 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 07:35:22 PM | INFO  |  Good fibers: 100212, Fraction of good pixels 0.97165462886634
